"","nom_eni","total"
"1","Acer campestre",26
"2","Acer pseudoplatanus",1
"3","Achillea ligustica",2
"4","Achillea millefolium",1792
"5","Aegilops geniculata",166
"6","Aegopodium podagraria",70
"7","Aethusa cynapium",30
"8","Agrimonia eupatoria",267
"9","Agrostemma githago",14
"10","Agrostis canina",21
"11","Agrostis capillaris",747
"12","Agrostis curtisii",1
"13","Agrostis gigantea",13
"14","Agrostis stolonifera",2029
"15","Aira caryophyllea",30
"16","Aira cupaniana",3
"17","Ajuga reptans",11
"18","Alliaria petiolata",21
"19","Allium oleraceum",8
"20","Allium polyanthum",8
"21","Allium porrum",5
"22","Allium roseum",3
"23","Allium rotundum",1
"24","Allium sativum",1
"25","Allium sphaerocephalon",3
"26","Allium triquetrum",11
"27","Allium vineale",88
"28","Alopecurus geniculatus",10
"29","Alopecurus myosuroides",649
"30","Alopecurus pratensis",145
"31","Althaea cannabina",6
"32","Althaea officinalis",15
"33","Alyssum alyssoides",7
"34","Amaranthus albus",1
"35","Amaranthus blitum",10
"36","Amaranthus deflexus",2
"37","Amaranthus hybridus",22
"38","Amaranthus retroflexus",46
"39","Ambrosia artemisiifolia",197
"40","Ammi majus",24
"41","Anacamptis pyramidalis",11
"42","Andryala integrifolia",27
"43","Angelica sylvestris",6
"44","Anisantha diandra",210
"45","Anisantha madritensis",221
"46","Anisantha rubens",1
"47","Anisantha sterilis",2821
"48","Anisantha tectorum",5
"49","Anthemis arvensis",87
"50","Anthemis cotula",37
"51","Anthoxanthum odoratum",267
"52","Anthriscus caucalis",12
"53","Anthriscus sylvestris",52
"54","Apera spica-venti",24
"55","Aphanes arvensis",73
"56","Arabidopsis thaliana",1
"57","Arabis hirsuta",7
"58","Arctium lappa",2
"59","Arctium minus",145
"60","Arenaria serpyllifolia",28
"61","Argentina anserina",163
"62","Arisarum vulgare",7
"63","Aristolochia clematitis",9
"64","Arrhenatherum elatius subsp. bulbosum",66
"65","Arrhenatherum elatius subsp. elatius",4228
"66","Artemisia verlotiorum",5
"67","Artemisia vulgaris",731
"68","Arum italicum",12
"69","Arum maculatum",2
"70","Asparagus acutifolius",2
"71","Asparagus officinalis",10
"72","Asperula cynanchica",5
"73","Astragalus pelecinus",8
"74","Atocion armeria",3
"75","Atriplex patula",37
"76","Atriplex prostrata",1
"77","Avena barbata",1114
"78","Avena sativa gpe",1747
"79","Avenula pratensis",10
"80","Avenula pubescens",4
"81","Ballota nigra",1
"82","Barbarea intermedia",1
"83","Bartsia trixago",2
"84","Bellis perennis",467
"85","Berula erecta",2
"86","Beta vulgaris subsp. maritima",12
"87","Beta vulgaris subsp. vulgaris",8
"88","Betula pendula",7
"89","Bidens tripartita",1
"90","Bituminaria bituminosa",68
"91","Borago officinalis",4
"92","Brachypodium distachyon",6
"93","Brachypodium phoenicoides",111
"94","Brachypodium rupestre",157
"95","Brachypodium sylvaticum",17
"96","Brassica napus",40
"97","Brassica nigra",14
"98","Briza media",18
"99","Briza minor",26
"100","Bromopsis erecta",25
"101","Bromopsis inermis",13
"102","Bromopsis ramosa",19
"103","Bromus arvensis",58
"104","Bromus commutatus gpe",165
"105","Bromus hordeaceus",3009
"106","Bromus secalinus",48
"107","Bryonia cretica subsp. dioica",22
"108","Buglossoides arvensis",7
"109","Buglossoides purpurocaerulea",1
"110","Bunias erucago",27
"111","Calendula arvensis",197
"112","Campanula erinus",4
"113","Campanula rapunculus",3
"114","Campanula rotundifolia",40
"115","Capsella bursa-pastoris",754
"116","Cardamine hirsuta",100
"117","Cardamine pratensis",9
"118","Carduus nigrescens",1
"119","Carduus nutans",1
"120","Carduus pycnocephalus",26
"121","Carduus tenuiflorus",4
"122","Carex divulsa",50
"123","Carex flacca",19
"124","Carex halleriana",7
"125","Carex hirta",106
"126","Carex otrubae",21
"127","Carex riparia",1
"128","Carex vulpina",19
"129","Carpinus betulus",1
"130","Carthamus lanatus",3
"131","Catapodium rigidum",23
"132","Caucalis platycarpos",2
"133","Centaurea aspera",1
"134","Centaurea jacea",201
"135","Centaurea scabiosa",6
"136","Centaurea solstitialis",11
"137","Centaurium erythraea",23
"138","Centaurium tenuiflorum",2
"139","Centranthus calcitrapae",19
"140","Cerastium arvense",5
"141","Cerastium brachypetalum",1
"142","Cerastium diffusum",1
"143","Cerastium fontanum subsp. vulgare",320
"144","Cerastium glomeratum",436
"145","Cerastium pumilum",14
"146","Ceratochloa cathartica",76
"147","Cervaria rivini",3
"148","Chaerophyllum temulum",15
"149","Chelidonium majus",5
"150","Chenopodiastrum hybridum",1
"151","Chenopodium album",1329
"152","Chenopodium vulvaria",4
"153","Chondrilla juncea",261
"154","Cichorium intybus",109
"155","Cirsium arvense",3070
"156","Cirsium oleraceum",1
"157","Cirsium palustre",4
"158","Cirsium vulgare",83
"159","Cistus salviifolius",1
"160","Cladanthus mixtus",9
"161","Clematis flammula",9
"162","Clematis vitalba",108
"163","Clinopodium vulgare",6
"164","Coleostephus myconis",4
"165","Conium maculatum",12
"166","Conopodium majus",24
"167","Convolvulus arvensis",9015
"168","Convolvulus sepium",1857
"169","Cornus mas",14
"170","Cornus sanguinea",27
"171","Coronilla varia",52
"172","Cota tinctoria",6
"173","Crassula tillaea",12
"174","Crataegus monogyna",14
"175","Crepis biennis",12
"176","Crepis capillaris",64
"177","Crepis foetida",80
"178","Crepis leontodontoides",2
"179","Crepis sancta",510
"180","Crepis setosa",53
"181","Crepis vesicaria subsp. taraxacifolia",98
"182","Cruciata glabra",3
"183","Cruciata laevipes",205
"184","Cyanus segetum",155
"185","Cynodon dactylon",1346
"186","Cynoglossum creticum",3
"187","Cynosurus cristatus",14
"188","Cyperus eragrostis",3
"189","Cyperus longus",58
"190","Dactylis glomerata",8104
"191","Datura stramonium",19
"192","Daucus carota",2895
"193","Dianthus armeria",45
"194","Dianthus carthusianorum",2
"195","Digitalis purpurea",2
"196","Digitaria ischaemum",2
"197","Digitaria sanguinalis",248
"198","Diplotaxis erucoides",197
"199","Diplotaxis tenuifolia",9
"200","Dipsacus fullonum",40
"201","Dittrichia viscosa",35
"202","Dryopteris filix-mas",2
"203","Dysphania ambrosioides",5
"204","Echinochloa crus-galli",568
"205","Echium plantagineum",56
"206","Echium vulgare",38
"207","Elymus caninus",11
"208","Elytrigia campestris",170
"209","Elytrigia repens",5775
"210","Epilobium angustifolium",1
"211","Epilobium ciliatum",5
"212","Epilobium hirsutum",90
"213","Epilobium parviflorum",5
"214","Epilobium roseum",10
"215","Epilobium tetragonum",381
"216","Equisetum arvense",1109
"217","Equisetum ramosissimum",130
"218","Equisetum telmateia",64
"219","Erigeron annuus",32
"220","Erigeron bonariensis",9
"221","Erigeron canadensis",397
"222","Erigeron sumatrensis",101
"223","Erodium ciconium",90
"224","Erodium cicutarium",495
"225","Erodium malacoides",10
"226","Erodium moschatum",185
"227","Eruca sativa",6
"228","Ervilia hirsuta",240
"229","Ervum pubescens",6
"230","Ervum tetraspermum",34
"231","Eryngium campestre",192
"232","Erysimum cheiranthoides",2
"233","Eschscholzia californica",3
"234","Euonymus europaeus",9
"235","Euphorbia amygdaloides",5
"236","Euphorbia characias",8
"237","Euphorbia cyparissias",37
"238","Euphorbia exigua",7
"239","Euphorbia falcata",1
"240","Euphorbia flavicoma",6
"241","Euphorbia helioscopia",303
"242","Euphorbia peplus",19
"243","Euphorbia segetalis",11
"244","Euphorbia serrata",72
"245","Euphorbia stricta",2
"246","Fagopyrum esculentum",11
"247","Falcaria vulgaris",27
"248","Fallopia baldschuanica",3
"249","Fallopia convolvulus",542
"250","Festuca ovina gpe",139
"251","Festuca rubra",296
"252","Ficaria verna",5
"253","Filago germanica",12
"254","Filago pyramidata",4
"255","Filipendula ulmaria",2
"256","Filipendula vulgaris",1
"257","Foeniculum vulgare",247
"258","Fragaria vesca",9
"259","Fraxinus angustifolia",17
"260","Fraxinus excelsior",14
"261","Fraxinus ornus",2
"262","Fumaria bastardii",20
"263","Fumaria capreolata",20
"264","Fumaria gaillardotii",2
"265","Fumaria muralis",11
"266","Fumaria officinalis",154
"267","Galactites tomentosus",26
"268","Galega officinalis",8
"269","Galeopsis tetrahit",17
"270","Galinsoga parviflora",34
"271","Galinsoga quadriradiata",25
"272","Galium aparine subsp. aparine",3143
"273","Galium elongatum",2
"274","Galium mollugo gpe",1221
"275","Galium murale",5
"276","Galium palustre",5
"277","Galium verum",80
"278","Gastridium ventricosum",5
"279","Gaudinia fragilis",29
"280","Geranium columbinum",262
"281","Geranium dissectum",3605
"282","Geranium molle",1116
"283","Geranium pusillum",127
"284","Geranium pyrenaicum",38
"285","Geranium robertianum",112
"286","Geranium rotundifolium",606
"287","Geum urbanum",101
"288","Gladiolus italicus",3
"289","Glebionis segetum",9
"290","Glechoma hederacea",333
"291","Globularia bisnagarica",1
"292","Gnaphalium antillanum",6
"293","Gnaphalium uliginosum",3
"294","Hainardia cylindrica",7
"295","Hedera helix",317
"296","Hedypnois rhagadioloides",15
"297","Helianthus annuus",8
"298","Heliotropium europaeum",38
"299","Helminthotheca echioides",778
"300","Helosciadium nodiflorum",4
"301","Heracleum sphondylium",1445
"302","Himantoglossum hircinum",3
"303","Hirschfeldia incana",1
"304","Holcus lanatus",3028
"305","Holcus mollis",270
"306","Hordeum murinum",1026
"307","Hordeum vulgare",22
"308","Hylotelephium telephium",12
"309","Hymenocarpos circinnatus",1
"310","Hyoseris radiata",3
"311","Hypericum australe",3
"312","Hypericum hirsutum",1
"313","Hypericum humifusum",11
"314","Hypericum perforatum",641
"315","Hypericum tetrapterum",1
"316","Hypochaeris glabra",21
"317","Hypochaeris radicata",470
"318","Impatiens glandulifera",2
"319","Inula conyza",4
"320","Iris pseudacorus",3
"321","Jacobaea erucifolia",2
"322","Jacobaea vulgaris",51
"323","Jasione montana",5
"324","Juglans regia",5
"325","Juncus bufonius",52
"326","Juncus conglomeratus",1
"327","Juncus effusus",8
"328","Kickxia commutata",1
"329","Kickxia elatine",17
"330","Kickxia spuria",7
"331","Knautia arvensis",74
"332","Lactuca muralis",5
"333","Lactuca perennis",22
"334","Lactuca serriola",476
"335","Lactuca viminea",3
"336","Lactuca virosa",7
"337","Lamium album",55
"338","Lamium amplexicaule",40
"339","Lamium purpureum",447
"340","Lapsana communis",714
"341","Lathyrus angulatus",1
"342","Lathyrus annuus",4
"343","Lathyrus aphaca",22
"344","Lathyrus cicera",23
"345","Lathyrus clymenum",6
"346","Lathyrus hirsutus",34
"347","Lathyrus latifolius",1
"348","Lathyrus linifolius",5
"349","Lathyrus niger",6
"350","Lathyrus nissolia",61
"351","Lathyrus oleraceus",4
"352","Lathyrus pratensis",340
"353","Lathyrus sylvestris",42
"354","Lathyrus tuberosus",77
"355","Leersia oryzoides",1
"356","Legousia speculum-veneris",47
"357","Leontodon hispidus",16
"358","Leontodon saxatilis",9
"359","Lepidium campestre",8
"360","Lepidium didymum",10
"361","Lepidium draba",111
"362","Lepidium heterophyllum",2
"363","Leucanthemum vulgare gpe",208
"364","Ligustrum vulgare",8
"365","Linaria arvensis",3
"366","Linaria repens",2
"367","Linaria vulgaris",155
"368","Linum catharticum",4
"369","Linum strictum",6
"370","Linum usitatissimum",3
"371","Linum usitatissimum subsp. angustifolium",54
"372","Lipandra polysperma",12
"373","Lobularia maritima",13
"374","Logfia gallica",5
"375","Lolium multiflorum",542
"376","Lolium perenne",11588
"377","Lolium rigidum",69
"378","Lolium x boucheanum",46
"379","Lotus angustissimus",25
"380","Lotus corniculatus",877
"381","Lotus edulis",2
"382","Lotus hispidus",1
"383","Lotus ornithopodioides",22
"384","Lotus parviflorus",7
"385","Lotus pedunculatus",5
"386","Lotus rectus",2
"387","Lycopsis arvensis",6
"388","Lycopus europaeus",5
"389","Lysimachia arvensis",743
"390","Lysimachia foemina",22
"391","Lysimachia nummularia",14
"392","Lysimachia vulgaris",20
"393","Lythrum borysthenicum",1
"394","Lythrum hyssopifolia",11
"395","Lythrum salicaria",9
"396","Malus domestica",7
"397","Malva moschata",2
"398","Malva multiflora",21
"399","Malva neglecta",48
"400","Malva olbia",2
"401","Malva punctata",10
"402","Malva sylvestris",663
"403","Matricaria chamomilla",1784
"404","Matricaria discoidea",17
"405","Medicago arabica",278
"406","Medicago laciniata",6
"407","Medicago lupulina",1179
"408","Medicago minima",523
"409","Medicago murex",7
"410","Medicago orbicularis",45
"411","Medicago polymorpha",486
"412","Medicago sativa",341
"413","Medicago truncatula",10
"414","Melica ciliata",2
"415","Melissa officinalis",3
"416","Melittis melissophyllum",2
"417","Mentha aquatica",13
"418","Mentha arvensis",29
"419","Mentha pulegium",7
"420","Mentha suaveolens",287
"421","Mentha x villosa",3
"422","Mercurialis annua",241
"423","Minuartia hybrida",2
"424","Misopates orontium",14
"425","Muscari comosum",1
"426","Muscari neglectum",33
"427","Myosotis arvensis",212
"428","Myosotis ramosissima",8
"429","Myosotis stricta",7
"430","Nasturtium officinale",7
"431","Nigella damascena",11
"432","Oenanthe fistulosa",7
"433","Oenanthe pimpinelloides",17
"434","Ononis spinosa",62
"435","Ophrys apifera",7
"436","Origanum majorana",4
"437","Origanum vulgare",31
"438","Orlaya grandiflora",10
"439","Ornithogalum umbellatum gpe",7
"440","Ornithopus compressus",78
"441","Ornithopus perpusillus",10
"442","Ornithopus sativus",1
"443","Orobanche minor",6
"444","Oxalis acetosella",8
"445","Oxalis corniculata",103
"446","Oxalis fontana",1
"447","Oxalis pes-caprae",60
"448","Oxybasis glauca",1
"449","Pallenis spinosa",1
"450","Panicum miliaceum",8
"451","Papaver dubium",2
"452","Papaver rhoeas",1302
"453","Parentucellia latifolia",1
"454","Parentucellia viscosa",13
"455","Parietaria judaica",1
"456","Parthenocissus inserta",5
"457","Paspalum dilatatum",40
"458","Paspalum distichum",18
"459","Pastinaca sativa",77
"460","Persicaria amphibia",38
"461","Persicaria lapathifolia",100
"462","Persicaria maculosa",144
"463","Petrorhagia prolifera",45
"464","Petrorhagia saxifraga",5
"465","Phacelia tanacetifolia",52
"466","Phalaris aquatica",10
"467","Phalaris arundinacea",13
"468","Phalaris paradoxa",8
"469","Phelipanche nana",1
"470","Phleum pratense",468
"471","Phragmites australis",77
"472","Phytolacca americana",3
"473","Picris hieracioides",1619
"474","Pilosella aurantiaca",1
"475","Pilosella officinarum",3
"476","Pimpinella major",7
"477","Pimpinella saxifraga",4
"478","Piptatherum miliaceum",9
"479","Pistacia lentiscus",3
"480","Plantago coronopus",75
"481","Plantago lagopus",9
"482","Plantago lanceolata",6950
"483","Plantago major",2973
"484","Plantago media",21
"485","Poa annua",4777
"486","Poa bulbosa",59
"487","Poa pratensis",4086
"488","Poa trivialis",4479
"489","Podospermum laciniatum",48
"490","Polycarpon tetraphyllum",5
"491","Polygonatum multiflorum",8
"492","Polygonum aviculare",1932
"493","Polypogon monspeliensis",7
"494","Populus nigra",2
"495","Populus tremula",6
"496","Portulaca oleracea",119
"497","Potentilla erecta",12
"498","Potentilla reptans",4355
"499","Potentilla sterilis",4
"500","Potentilla verna",10
"501","Poterium sanguisorba",255
"502","Poterium verrucosum",1
"503","Primula elatior",2
"504","Primula veris",17
"505","Primula vulgaris",3
"506","Prunella vulgaris",178
"507","Prunus cerasus",1
"508","Prunus spinosa",148
"509","Pteridium aquilinum",177
"510","Pulicaria dysenterica",28
"511","Pulicaria odora",3
"512","Quercus ilex",9
"513","Quercus petraea",6
"514","Quercus pubescens",90
"515","Quercus robur",47
"516","Quercus suber",3
"517","Ranunculus acris",91
"518","Ranunculus arvensis",41
"519","Ranunculus bulbosus",220
"520","Ranunculus muricatus",21
"521","Ranunculus parviflorus",125
"522","Ranunculus repens",1842
"523","Ranunculus sardous",19
"524","Raphanus raphanistrum",66
"525","Rapistrum rugosum",1
"526","Reichardia picroides",3
"527","Reseda lutea",14
"528","Reseda luteola",1
"529","Reseda phyteuma",1
"530","Rhagadiolus edulis",1
"531","Rheum x hybridum",10
"532","Rhinanthus minor",13
"533","Robinia pseudoacacia",5
"534","Rorippa sylvestris",8
"535","Rosa arvensis",25
"536","Rosa canina",80
"537","Rosa sempervirens",5
"538","Rostraria cristata",23
"539","Rubia peregrina",54
"540","Rubia tinctorum",3
"541","Rumex acetosa",655
"542","Rumex acetosella",150
"543","Rumex bucephalophorus",6
"544","Rumex conglomeratus",39
"545","Rumex crispus",1870
"546","Rumex obtusifolius",463
"547","Rumex pulcher",21
"548","Rumex sanguineus",3
"549","Sagina apetala",2
"550","Salix caprea",1
"551","Salvia pratensis",11
"552","Sambucus ebulus",9
"553","Sambucus nigra",19
"554","Saponaria officinalis",22
"555","Scabiosa atropurpurea",168
"556","Scandix pecten-veneris",10
"557","Schedonorus arundinaceus",87
"558","Schedonorus arundinaceus gpe",2670
"559","Scorpiurus subvillosus",32
"560","Scorzoneroides autumnalis",4
"561","Scrophularia nodosa",1
"562","Secale cereale",4
"563","Sedum acre",3
"564","Sedum album",21
"565","Senecio inaequidens",26
"566","Senecio vulgaris",918
"567","Setaria italica subsp. italica",1
"568","Setaria italica subsp. viridis",421
"569","Setaria pumila",190
"570","Setaria verticillata",47
"571","Sherardia arvensis",420
"572","Sideritis romana",1
"573","Silene bellidifolia",6
"574","Silene dioica",30
"575","Silene flos-cuculi",13
"576","Silene gallica",36
"577","Silene latifolia",904
"578","Silene nocturna",2
"579","Silene vulgaris",23
"580","Silybum marianum",21
"581","Sinapis alba",9
"582","Sinapis arvensis",104
"583","Sisymbrium officinale",96
"584","Smyrnium olusatrum",12
"585","Solanum dulcamara",7
"586","Solanum nigrum",79
"587","Solanum tuberosum",7
"588","Solidago canadensis",6
"589","Sonchus arvensis",137
"590","Sonchus asper",1783
"591","Sonchus oleraceus",604
"592","Sonchus tenerrimus",30
"593","Sorghum halepense",127
"594","Spergula arvensis",33
"595","Spergula rubra",26
"596","Stachys annua",1
"597","Stachys arvensis",4
"598","Stachys palustris",14
"599","Stachys recta",1
"600","Stachys sylvatica",4
"601","Stellaria graminea",109
"602","Stellaria holostea",172
"603","Stellaria media",933
"604","Succisa pratensis",1
"605","Symphyotrichum subulatum",1
"606","Symphytum officinale",37
"607","Tagetes minuta",1
"608","Tanacetum vulgare",43
"609","Taraxacum section Erythrosperma",7
"610","Taraxacum section Ruderalia",4531
"611","Teucrium scorodonia",12
"612","Thlaspi arvense",14
"613","Thymus vulgaris",1
"614","Tolpis umbellata",22
"615","Tordylium maximum",73
"616","Torilis arvensis",518
"617","Torilis japonica",71
"618","Torilis nodosa",71
"619","Tragopogon dubius",17
"620","Tragopogon porrifolius",6
"621","Tragopogon pratensis",80
"622","Trifolium angustifolium",15
"623","Trifolium arvense",259
"624","Trifolium aureum",1
"625","Trifolium campestre",225
"626","Trifolium dubium",54
"627","Trifolium fragiferum",30
"628","Trifolium glomeratum",21
"629","Trifolium hybridum",7
"630","Trifolium incarnatum",5
"631","Trifolium lappaceum",13
"632","Trifolium micranthum",7
"633","Trifolium nigrescens",23
"634","Trifolium pratense",1283
"635","Trifolium repens",5340
"636","Trifolium resupinatum",5
"637","Trifolium scabrum",9
"638","Trifolium stellatum",2
"639","Trifolium subterraneum",11
"640","Trifolium tomentosum",31
"641","Trigonella alba",9
"642","Trigonella officinalis",23
"643","Tripleurospermum inodorum",132
"644","Trisetum flavescens",71
"645","Triticum aestivum",111
"646","Triticum turgidum",20
"647","Tussilago farfara",2
"648","Ulex europaeus",1
"649","Ulmus minor",5
"650","Urospermum dalechampii",33
"651","Urospermum picroides",4
"652","Urtica dioica",2567
"653","Valeriana officinalis",2
"654","Valerianella dentata",2
"655","Valerianella discoidea",1
"656","Valerianella eriocarpa",9
"657","Valerianella locusta",25
"658","Valerianella microcarpa",5
"659","Verbascum densiflorum",1
"660","Verbascum pulverulentum",2
"661","Verbascum sinuatum",18
"662","Verbascum thapsus",20
"663","Verbena officinalis",247
"664","Veronica anagallis-aquatica",14
"665","Veronica arvensis",1244
"666","Veronica chamaedrys",52
"667","Veronica cymbalaria",23
"668","Veronica filiformis",10
"669","Veronica hederifolia",12
"670","Veronica officinalis",9
"671","Veronica persica",1792
"672","Veronica polita",12
"673","Veronica serpyllifolia",9
"674","Vicia bithynica",61
"675","Vicia cracca",362
"676","Vicia dasycarpa",3
"677","Vicia faba",15
"678","Vicia hybrida",8
"679","Vicia lathyroides",15
"680","Vicia lutea",46
"681","Vicia sativa",2149
"682","Vicia sepium",59
"683","Vicia tenuifolia",12
"684","Vicia villosa",65
"685","Viola arvensis",122
"686","Viola hirta",1
"687","Vitis rupestris",21
"688","Vitis vinifera",2
"689","Vulpia bromoides",35
"690","Vulpia ciliata",5
"691","Vulpia fasciculata",5
"692","Vulpia ligustica",30
"693","Vulpia myuros",746
"694","Xanthium orientale gpe",95
"695","Zea mays",11
