link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
505-IF-095-01;505;IF-095-01;ILE-DE-FRANCE;Ble;IDF;1.25;309;120.4;Non mesure;170;20.92;4.2;175;197;8.3;12.04;145;12.09;oui;#N/A;149;#N/A;0.149;#N/A
468-IF-078-01;468;IF-078-01;ILE-DE-FRANCE;Ble;IDF;1.91;194;180.8;Non mesure;237;33.01;5.2;146;250;8.4;18.08;168;19.08;oui;#N/A;289;#N/A;0.289;#N/A
504-IF-095-02;504;IF-095-02;ILE-DE-FRANCE;Mais;IDF;1.93;180;198.3;Non mesure;279;32.80;18.7;143;292;8.7;19.83;87;18.96;oui;#N/A;257;#N/A;0.257;#N/A
144-IF-078-03;144;IF-078-03;ILE-DE-FRANCE;Mais;IDF;1.02;479;99.5;Non mesure;169;16.02;3.1;236;99;7.8;9.95;13;9.26;oui;#N/A;68;#N/A;0.068;#N/A
459-IF-078-02;459;IF-078-02;ILE-DE-FRANCE;Ble;IDF;1.83;160;198.3;53.8;266;29.88;143.8;115;143;8.4;19.83;172;17.27;oui;#N/A;109;#N/A;0.109;#N/A
516-IF-091-02;516;IF-091-02;ILE-DE-FRANCE;Ble;IDF;1.22;455;114.7;Non mesure;187;19.76;2.1;268;57;7.6;11.47;31;11.42;oui;#N/A;70;#N/A;0.070;#N/A
511-IF-095-03;511;IF-095-03;ILE-DE-FRANCE;Ble;IDF;1.23;486;119.2;Non mesure;209;19.13;7.3;233;57;8.1;11.92;8;11.06;oui;#N/A;138;#N/A;0.138;#N/A
512-IF-091-03;512;IF-091-03;ILE-DE-FRANCE;Mais;IDF;0.98;475;92.5;Non mesure;155;15.17;3.1;301;46;8.2;9.25;20;8.77;oui;#N/A;159;#N/A;0.159;#N/A
147-IF-091-01;147;IF-091-01;ILE-DE-FRANCE;Ble;IDF;1.69;371;177.3;Non mesure;256;27.04;18.7;289;25;8.6;17.73;40;15.63;oui;#N/A;50;#N/A;0.050;#N/A
284-PIC20;284;PIC 20;HAUTS-DE-FRANCE;Ble;HDF;1.48;427;88.9;Non mesure;123;23.37;2.1;325;90;7.7;8.89;33;13.51;oui;#N/A;64;#N/A;0.064;#N/A
412-PIC15;412;PIC 15;HAUTS-DE-FRANCE;Ble;HDF;1.10;286;85.0;Non mesure;120;16.63;4.2;148;408;7.6;8.50;35;9.61;oui;#N/A;107;#N/A;0.107;#N/A
253-PIC28;253;PIC 28;HAUTS-DE-FRANCE;Salade;HDF;2.54;228;152.2;141.3;177;40.43;329.5;156;46;8.2;15.22;63;23.37;oui;13.8;103;2.36;0.103;145.0
532-61500-CA61-01;532;61500-CA61-01;NORMANDIE;Mais;NOR;1.72;463;122.3;Non mesure;198;26.52;3.1;271;53;6.9;12.23;12;15.33;oui;#N/A;37;#N/A;0.037;#N/A
533-61500-CA61-02;533;61500-CA61-02;NORMANDIE;Ble;NOR;2.48;145;109.4;Non mesure;170;31.09;Non mesure;335;73;6.3;10.94;276;17.97;oui;#N/A;115;#N/A;0.115;#N/A
359-PACA-10;359;PACA-10;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;1.10;49;78.6;30.0;122;19.57;126.3;76;286;8.4;7.86;339;11.31;oui;261.9;53;86.18;0.053;#N/A
360-PACA-11;360;PACA-11;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;0.98;61;107.7;12.5;199;12.47;77.3;94;193;8.5;10.77;376;7.21;oui;184.2;75;46.14;0.075;#N/A
367-PACA-09;367;PACA-09;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;1.04;65;101.0;28.8;163;17.40;128.2;99;228;8.5;10.10;315;10.06;oui;113.8;41;31.38;0.041;#N/A
363-PACA-12;363;PACA-12;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;1.36;40;145.5;22.5;259;25.28;253.7;120;86;8.5;14.55;241;14.61;oui;94.3;50;21.93;0.050;#N/A
361-PACA-13;361;PACA-13;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;1.79;60;164.3;13.8;290;30.40;53.1;144;147;8.2;16.43;306;17.57;oui;83.1;227;21.10;0.227;#N/A
211-55317;211;55317;GRAND-EST;Ble;G-E;2.36;370;192.5;Non mesure;246;34.58;6.2;317;45;7.7;19.25;16;19.99;oui;#N/A;54;#N/A;0.054;#N/A
472-MP-GA-LAU-V1;472;MP_GA_LAU_V1;OCCITANIE;Vigne;OCC;1.11;97;104.3;Non mesure;150;26.57;3.1;123;285;7.0;10.43;342;15.36;oui;#N/A;73;#N/A;0.073;#N/A
182-MP-GA-LAU-V3;182;MP_GA_LAU_V3;OCCITANIE;Vigne;OCC;0.90;266;76.5;Non mesure;158;16.24;2.1;266;160;7.7;7.65;148;9.39;oui;#N/A;58;#N/A;0.058;#N/A
479-MP-GA-LAU-V2;479;MP_GA_LAU_V2;OCCITANIE;Vigne;OCC;1.63;9;127.7;156.3;213;29.17;741.5;24;6;8.3;12.77;5;16.86;Oui;#N/A;88;#N/A;0.088;350.0
477-MP-GA-LAU-B1;477;MP_GA_LAU_B1;OCCITANIE;Ble;OCC;1.19;128;203.0;16.3;333;16.30;57.3;157;173;8.1;20.30;151;9.42;oui;#N/A;27;#N/A;0.027;#N/A
481-MP-GA-LAU-B3;481;MP_GA_LAU_B3;OCCITANIE;Ble;OCC;1.24;279;83.2;Non mesure;179;20.97;Non mesure;276;176;6.7;8.32;91;12.12;oui;#N/A;21;#N/A;0.021;#N/A
473-MP-GA-LAU-B2;473;MP_GA_LAU_B2;OCCITANIE;Ble;OCC;1.01;144;108.6;Non mesure;196;13.13;4.2;159;304;7.9;10.86;194;7.59;oui;#N/A;32;#N/A;0.032;#N/A
545-CENTRE-42;545;centre-42;CENTRE-VAL DE LOIRE;Salade;CVL;2.23;167;132.5;Non mesure;127;37.59;7.3;153;173;8.1;13.25;374;21.73;oui;9.5;172;1.82;0.172;#N/A
222-PDL-27;222;PDL-27;PAYS DE LOIRE;Vigne;PDL;0.70;98;56.5;Non mesure;94;10.64;2.1;125;102;6.9;5.65;580;6.15;oui;81.7;53;36.88;0.053;#N/A
310-12ENICA52002;310;12ENICA52002;GRAND-EST;Ble;G-E;1.58;223;130.9;Non mesure;240;22.97;Non mesure;344;150;5.8;13.09;43;13.28;oui;#N/A;47;#N/A;0.047;#N/A
209-55272;209;55272;GRAND-EST;Ble;G-E;1.97;252;166.0;Non mesure;315;29.22;2.1;311;40;7.1;16.60;80;16.89;oui;#N/A;61;#N/A;0.061;#N/A
237-CE-38-45MC;237;CE-38/45 MC;CENTRE-VAL DE LOIRE;Salade;CVL;0.88;114;54.6;Non mesure;79;20.12;3.1;174;97;7.5;5.46;532;11.63;oui;<8;99;1.16;0.099;#N/A
041-CE-39-45MC;41;CE-39/45 MC;CENTRE-VAL DE LOIRE;Salade;CVL;0.90;89;88.8;Non mesure;119;17.75;3.1;123;180;7.2;8.88;485;10.26;oui;15.5;159;5.45;0.159;#N/A
100-CENTRE-32;100;Centre-32;CENTRE-VAL DE LOIRE;Ble;CVL;1.80;499;133.2;Non mesure;153;29.15;10.4;270;41;8.1;13.32;28;16.85;oui;#N/A;143;#N/A;0.143;#N/A
027-CENTRE-34;27;Centre-34;CENTRE-VAL DE LOIRE;Mais;CVL;1.15;462;95.3;Non mesure;132;17.94;3.1;271;53;6.4;9.53;79;10.37;oui;#N/A;79;#N/A;0.079;#N/A
097-CENTRE-35;97;Centre-35;CENTRE-VAL DE LOIRE;Ble;CVL;1.60;314;182.2;41.3;242;24.44;188.6;211;25;8.2;18.22;19;14.13;oui;#N/A;44;#N/A;0.044;#N/A
106-CENTRE-36;106;Centre-36;CENTRE-VAL DE LOIRE;Ble;CVL;1.57;336;97.7;Non mesure;193;30.97;5.2;271;101;7.6;9.77;94;17.90;oui;#N/A;84;#N/A;0.084;#N/A
188-CENTRE-31;188;Centre-31;CENTRE-VAL DE LOIRE;Ble;CVL;1.37;405;126.3;Non mesure;195;21.00;2.1;302;35;7.1;12.63;60;12.14;oui;#N/A;21;#N/A;0.021;#N/A
019-CENTRE-30;19;Centre-30;CENTRE-VAL DE LOIRE;Ble;CVL;1.34;299;166.0;Non mesure;253;20.15;Non mesure;256;73;5.9;16.60;117;11.65;oui;#N/A;179;#N/A;0.179;#N/A
028-CENTRE-33;28;Centre-33;CENTRE-VAL DE LOIRE;Mais;CVL;1.19;446;114.6;Non mesure;190;18.49;Non mesure;318;23;6.5;11.46;19;10.69;oui;#N/A;102;#N/A;0.102;#N/A
549-DPT28-CENTRE-46;549;Dpt28-Centre-46;CENTRE-VAL DE LOIRE;Ble;CVL;1.41;450;147.6;Non mesure;204;24.31;4.2;312;23;7.5;14.76;6;14.05;oui;#N/A;76;#N/A;0.076;#N/A
427-27079-LEGTACHAMBRAY-01;427;27079 - LEGTA Chambray - 01;NORMANDIE;Ble;NOR;2.42;387;163.7;Non mesure;198;37.45;4.2;297;68;7.6;16.37;47;21.65;oui;#N/A;69;#N/A;0.069;#N/A
419-27079-LEGTACHAMBRAY-02;419;27079 - LEGTA Chambray - 02;NORMANDIE;Ble;NOR;1.42;428;90.2;Non mesure;113;21.52;3.1;286;86;7.3;9.02;84;12.44;oui;#N/A;51;#N/A;0.051;#N/A
556-27079-LEGTACHAMBRAY-04;556;27079  - LEGTA Chambray - 04;NORMANDIE;Ble;NOR;2.32;327;88.0;Non mesure;100;37.16;Non mesure;233;158;6.4;8.80;178;21.48;oui;#N/A;92;#N/A;0.092;#N/A
888-27079-LEGTACHAMBRAY-05;888;27079  - LEGTA Chambray - 05;NORMANDIE;Ble;NOR;1.09;411;77.2;Non mesure;113;17.89;2.1;269;106;6.9;7.72;99;10.34;oui;#N/A;42;#N/A;0.042;#N/A
232-27079-LEGTACHAMBRAY-03;232;27079 - LEGTA Chambray - 03;NORMANDIE;Salade;NOR;2.43;343;119.2;Non mesure;121;41.04;3.1;266;105;7.4;11.92;162;23.72;oui;#N/A;136;#N/A;0.136;#N/A
262-CENTRE-18-4-FA;262;CENTRE-18-4-Fa;CENTRE-VAL DE LOIRE;Mais;CVL;2.62;28;76.7;182.5;29;40.88;862.0;27;27;8.6;7.67;28;23.63;oui;#N/A;24;#N/A;0.024;405.0
487-CENTRE-18-1-OM;487;CENTRE-18-1-Om;CENTRE-VAL DE LOIRE;Ble;CVL;3.49;82;182.8;33.8;298;36.21;135.2;157;52;8.4;18.28;275;20.93;oui;#N/A;103;#N/A;0.103;#N/A
221-CENTRE-18-5-LE;221;CENTRE-18-5-Le;CENTRE-VAL DE LOIRE;Ble;CVL;2.12;157;202.8;Non mesure;356;27.77;11.5;240;48;8.2;20.28;187;16.05;oui;#N/A;246;#N/A;0.246;#N/A
194-CENTRE-18-2-CO;194;CENTRE-18-2-Co;CENTRE-VAL DE LOIRE;Ble;CVL;2.52;45;124.2;Non mesure;201;20.45;3.1;99;75;7.0;12.42;577;11.82;oui;#N/A;36;#N/A;0.036;#N/A
193-CENTRE-18-3-MA;193;CENTRE-18-3-Ma;CENTRE-VAL DE LOIRE;Ble;CVL;1.46;239;151.5;Non mesure;236;20.22;4.2;341;52;7.5;15.15;128;11.69;oui;#N/A;148;#N/A;0.148;#N/A
305-AQ-021;305;AQ-021;NOUVELLE-AQUITAINE;Mais;N-A;0.94;118;111.8;58.4;242;13.08;210.4;132;113;8.6;11.18;184;7.56;oui;#N/A;40;#N/A;0.040;#N/A
022-AQ-023;22;AQ-023;NOUVELLE-AQUITAINE;Mais;N-A;1.85;179;236.6;23.4;412;20.05;57.2;290;49;8.3;23.66;13;11.59;oui;#N/A;132;#N/A;0.132;#N/A
306-AQ-020;306;AQ-020;NOUVELLE-AQUITAINE;Ble;N-A;1.09;149;141.1;Non mesure;243;14.26;11.4;180;193;8.2;14.11;224;8.24;oui;#N/A;92;#N/A;0.092;#N/A
339-AQ-022;339;AQ-022;NOUVELLE-AQUITAINE;Mais;N-A;0.69;7;51.1;Non mesure;12;24.83;2.1;17;41;7.4;5.11;921;14.35;oui;#N/A;92;#N/A;0.092;#N/A
297-AQ-039;297;AQ-039;NOUVELLE-AQUITAINE;Vigne;N-A;1.67;48;112.0;12.3;192;35.57;31.1;66;96;8.2;11.20;567;20.56;oui;79.9;32;22.49;0.032;#N/A
563-AQ-042;563;AQ-042;NOUVELLE-AQUITAINE;Salade;N-A;1.05;259;111.9;13.9;219;14.88;44.7;309;159;8.6;11.19;11;8.60;oui;23.1;27;3.39;0.027;#N/A
325-AQ-007;325;AQ-007;NOUVELLE-AQUITAINE;Vigne;N-A;0.69;32;39.8;Non mesure;35;18.04;4.2;29;189;8.1;3.98;712;10.43;oui;28.1;45;13.52;0.045;#N/A
205-50760-SILEBAN-03;205;50760-SILEBAN-03;NORMANDIE;Ble;NOR;1.05;416;62.3;Non mesure;94;15.33;2.1;173;203;6.8;6.23;112;8.86;oui;#N/A;161;#N/A;0.161;#N/A
207-50330-SILEBAN-01;207;50330-SILEBAN-01;NORMANDIE;Salade;NOR;1.02;421;64.6;Non mesure;93;15.74;2.1;177;192;6.5;6.46;115;9.10;oui;<8;123;2.33;0.123;#N/A
423-FC05CHOYE;423;FC05 CHOYE;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;3.23;94;298.6;33.8;667;23.68;46.7;178;8;7.9;29.86;6;13.69;oui;#N/A;54;#N/A;0.054;#N/A
402-FC07GEVRY;402;FC07 GEVRY;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;2.47;134;212.1;91.3;401;29.62;213.6;229;16;8.5;21.21;5;17.12;oui;#N/A;43;#N/A;0.043;#N/A
401-FC09MARNAY;401;FC09 MARNAY;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;1.25;244;118.4;Non mesure;304;16.14;2.1;352;58;7.0;11.84;39;9.33;oui;#N/A;17;#N/A;0.017;#N/A
398-FC12VADANS;398;FC12 VADANS;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;0.85;286;63.1;Non mesure;139;12.27;<2;277;209;6.8;6.31;88;7.09;oui;#N/A;13;#N/A;0.013;#N/A
414-FC08CHEMIN;414;FC08 CHEMIN;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;0.99;357;71.4;Non mesure;133;14.38;2.1;323;107;6.7;7.14;79;8.31;oui;#N/A;65;#N/A;0.065;#N/A
425-FC06THERVAY;425;FC06 THERVAY;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;1.22;308;92.6;Non mesure;186;19.86;17.7;350;88;8.4;9.26;50;11.48;oui;#N/A;83;#N/A;0.083;#N/A
415-FC10TAVAUX;415;FC10 TAVAUX;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.38;192;315.3;Non mesure;486;23.01;5.2;231;50;7.9;31.53;36;13.30;oui;#N/A;59;#N/A;0.059;#N/A
422-FC04VALAY;422;FC04 VALAY;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;2.13;235;193.4;Non mesure;390;18.94;4.2;294;34;7.7;19.34;41;10.95;oui;#N/A;53;#N/A;0.053;#N/A
421-FC03AUTHUME;421;FC03 AUTHUME;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;1.13;357;99.8;Non mesure;186;15.43;2.1;403;35;7.0;9.98;17;8.92;oui;#N/A;35;#N/A;0.035;#N/A
245-PDL-33;245;PDL-33;PAYS DE LOIRE;Ble;PDL;3.87;81;239.5;Non mesure;563;35.86;8.3;295;24;7.6;23.95;29;20.73;oui;#N/A;150;#N/A;0.150;#N/A
135-PDL-28;135;PDL-28;PAYS DE LOIRE;Mais;PDL;1.51;258;87.7;Non mesure;194;23.37;4.2;243;100;7.5;8.77;200;13.51;oui;#N/A;162;#N/A;0.162;#N/A
169-PDL-31;169;PDL-31;PAYS DE LOIRE;Ble;PDL;1.41;297;93.6;Non mesure;205;18.75;4.2;243;110;8.0;9.36;141;10.84;oui;#N/A;185;#N/A;0.185;#N/A
248-PDL-32;248;PDL-32;PAYS DE LOIRE;Ble;PDL;2.97;241;146.2;33.8;266;42.59;189.9;212;44;8.4;14.62;47;24.62;oui;#N/A;109;#N/A;0.109;#N/A
173-PDL-29;173;PDL-29;PAYS DE LOIRE;Mais;PDL;2.18;244;161.8;Non mesure;353;28.22;4.2;247;62;7.8;16.18;91;16.31;oui;#N/A;239;#N/A;0.239;#N/A
246-PDL-30;246;PDL-30;PAYS DE LOIRE;Mais;PDL;8.36;131;291.7;Non mesure;468;81.98;18.7;275;45;7.4;29.17;62;47.39;oui;#N/A;388;#N/A;0.388;#N/A
346-AQ-009;346;AQ-009;NOUVELLE-AQUITAINE;Vigne;N-A;1.01;233;63.3;Non mesure;110;19.51;Non mesure;201;111;6.8;6.33;344;11.28;oui;32.3;28;2.95;0.028;#N/A
014-12ENICA52004;14;12ENICA52004;GRAND-EST;Mais;G-E;2.38;205;143.4;Non mesure;234;37.51;2.1;401;139;6.9;14.34;19;21.68;oui;#N/A;195;#N/A;0.195;#N/A
113-12ENICA10003;113;12ENICA10003;GRAND-EST;Ble;G-E;1.73;86;77.7;166.3;91;28.99;736.4;55;13;8.2;7.77;19;16.76;oui;#N/A;63;#N/A;0.063;437.0
202-12ENICA10002;202;12ENICA10002;GRAND-EST;Ble;G-E;2.24;92;116.8;178.8;147;39.12;566.4;90;20;8.1;11.68;85;22.61;oui;#N/A;85;#N/A;0.085;221.5
285-12ENICA52005;285;12ENICA52005;GRAND-EST;Mais;G-E;2.77;217;196.5;Non mesure;398;40.93;13.5;347;18;7.9;19.65;7;23.66;oui;#N/A;109;#N/A;0.109;#N/A
282-12ENICA10005;282;12ENICA10005;GRAND-EST;Salade;G-E;2.19;76;108.6;173.8;133;37.14;676.4;97;10;8.2;10.86;8;21.47;oui;10.2;101;1.19;0.101;331.5
002-12ENICA52003;2;12ENICA52003;GRAND-EST;Ble;G-E;2.20;209;178.4;Non mesure;327;34.82;3.1;282;159;7.3;17.84;19;20.13;oui;#N/A;110;#N/A;0.110;#N/A
230-12ENICA10001;230;12ENICA10001;GRAND-EST;Ble;G-E;1.78;95;91.3;175.0;90;29.60;763.9;36;9;8.2;9.13;7;17.11;oui;#N/A;72;#N/A;0.072;317.5
271-12ENICA52006;271;12ENICA52006;GRAND-EST;Mais;G-E;2.84;61;128.2;176.3;185;43.67;622.6;93;20;7.9;12.82;19;25.24;oui;#N/A;99;#N/A;0.099;277.5
510-12ENICA52001;510;12ENICA52001;GRAND-EST;Ble;G-E;6.92;188;284.2;28.8;367;122.16;143.7;244;22;7.7;28.42;36;70.61;oui;#N/A;284;#N/A;0.284;#N/A
526-16ENICA10006;526;16ENICA10006;GRAND-EST;Ble;G-E;1.98;50;119.0;173.8;189;28.48;672.3;78;8;8.3;11.90;2;16.46;oui;#N/A;47;#N/A;0.047;251.5
255-12ENICA51004;255;12ENICA51004;GRAND-EST;Ble;G-E;2.15;189;132.3;155.0;199;33.61;428.7;167;9;8.1;13.23;7;19.43;oui;#N/A;57;#N/A;0.057;162.0
037-14ENICA08005;37;14ENICA08005;GRAND-EST;Ble;G-E;1.49;453;151.7;Non mesure;235;19.64;7.3;258;43;7.9;15.17;4;11.35;oui;#N/A;121;#N/A;0.121;#N/A
049-12ENICA08003;49;12ENICA08003;GRAND-EST;Mais;G-E;1.53;179;186.3;41.3;335;24.22;135.9;111;205;8.1;18.63;34;14.00;oui;#N/A;30;#N/A;0.030;#N/A
520-12ENICA08001;520;12ENICA08001;GRAND-EST;Ble;G-E;1.93;156;112.0;172.5;152;31.59;532.7;129;21;8.1;11.20;10;18.26;oui;#N/A;73;#N/A;0.073;263.0
283-12ENICA51002;283;12ENICA51002;GRAND-EST;Ble;G-E;1.17;244;120.4;11.3;217;15.26;32.2;124;316;7.9;12.04;68;8.82;oui;#N/A;57;#N/A;0.057;#N/A
508-12ENICA51001;508;12ENICA51001;GRAND-EST;Ble;G-E;2.04;104;109.5;173.8;162;32.87;601.8;112;12;8.2;10.95;9;19.00;oui;#N/A;77;#N/A;0.077;287.0
286-12ENICA51003;286;12ENICA51003;GRAND-EST;Ble;G-E;1.49;236;148.4;Non mesure;250;19.98;6.3;244;84;7.7;14.84;179;11.55;oui;#N/A;106;#N/A;0.106;#N/A
235-12ENICA08002;235;12ENICA08002;GRAND-EST;Ble;G-E;1.94;271;150.4;16.3;336;29.01;64.5;236;56;8.0;15.04;37;16.77;oui;#N/A;65;#N/A;0.065;#N/A
110-12ENICA51007;110;12ENICA51007;GRAND-EST;Vigne;G-E;1.75;96;160.9;89.1;264;36.52;187.1;111;255;8.1;16.09;86;21.11;oui;134.4;98;45.80;0.098;#N/A
280-12ENICA51005;280;12ENICA51005;GRAND-EST;Salade;G-E;1.77;36;77.4;177.5;106;34.57;755.7;42;33;8.4;7.74;28;19.98;oui;11.1;89;1.94;0.089;388.0
024-12ENICA51009;24;12ENICA51009;GRAND-EST;Vigne;G-E;2.25;118;164.0;89.4;253;42.11;156.8;117;251;8.2;16.40;104;24.34;oui;347.7;144;153.95;0.144;#N/A
225-14ENICA51013;225;14ENICA51013;GRAND-EST;Vigne;G-E;2.26;130;174.0;57.1;236;44.79;135.7;99;294;8.1;17.40;106;25.89;oui;170.5;83;64.85;0.083;#N/A
114-12ENICA51012;114;12ENICA51012;GRAND-EST;Vigne;G-E;2.31;106;187.0;117.5;286;49.67;256.2;122;155;8.1;18.70;75;28.71;oui;184.0;161;62.25;0.161;#N/A
108-12ENICA51011;108;12ENICA51011;GRAND-EST;Vigne;G-E;1.77;155;146.2;119.3;219;37.51;267.1;106;179;8.2;14.62;74;21.68;oui;163.7;96;63.68;0.096;#N/A
109-12ENICA51010;109;12ENICA51010;GRAND-EST;Vigne;G-E;2.00;95;138.0;153.9;205;40.27;349.9;102;178;8.2;13.80;69;23.28;oui;132.1;65;42.92;0.065;135.0
503-15ENICA51014;503;15ENICA51014;GRAND-EST;Salade;G-E;1.58;203;146.6;73.8;282;24.20;210.8;134;96;8.3;14.66;74;13.99;oui;28.5;150;7.73;0.150;#N/A
126-RC-19;126;RC-19;CENTRE-VAL DE LOIRE;Ble;CVL;1.47;294;207.6;Non mesure;301;23.27;8.3;241;36;8.1;20.76;120;13.45;oui;#N/A;78;#N/A;0.078;#N/A
