id_parcelle;type_production
1;Conventionnel
2;Biologique
3;Conventionnel
4;Conventionnel
5;Conventionnel
6;Biologique
7;Conventionnel
8;Conventionnel
9;Conventionnel
10;Conventionnel
11;Biologique
12;Biologique
13;Conventionnel
14;Biologique
15;Biologique
16;Conventionnel
17;Conventionnel
18;Conventionnel
19;Conventionnel
20;Conventionnel
21;Conventionnel
22;Conventionnel
23;Biologique
24;Biologique
25;Biologique
26;Conventionnel
27;Conventionnel
28;Conventionnel
29;Conventionnel
30;Conventionnel
31;Conventionnel
32;Conventionnel
33;Conventionnel
34;Conventionnel
35;Conventionnel
36;Conventionnel
37;Conventionnel
38;Biologique
39;Biologique
40;Biologique
41;Biologique
42;Conventionnel
43;Conventionnel
44;Conventionnel
45;Conventionnel
46;Conventionnel
47;Conventionnel
48;Conventionnel
49;Conventionnel
50;Biologique
51;Biologique
52;Biologique
53;Conventionnel
54;Conventionnel
55;Conventionnel
56;Conventionnel
57;Conventionnel
58;Conventionnel
59;Conventionnel
60;Conventionnel
61;Conventionnel
62;Conventionnel
63;Conventionnel
64;Biologique
65;Conventionnel
66;Conventionnel
67;Biologique
68;Conventionnel
69;Conventionnel
70;Biologique
71;Conventionnel
72;Conventionnel
73;Biologique
74;Biologique
75;Conventionnel
76;Conventionnel
78;Conventionnel
79;Conventionnel
80;Conventionnel
81;Conventionnel
82;Conventionnel
83;Conventionnel
84;Conventionnel
85;Conventionnel
86;Conventionnel
87;Conventionnel
88;Biologique
89;Biologique
90;Biologique
91;Biologique
92;Biologique
93;Biologique
94;Biologique
95;Biologique
96;Biologique
97;Biologique
98;Biologique
99;Biologique
100;Biologique
101;Conventionnel
102;Conventionnel
103;Conventionnel
104;Conventionnel
105;Conventionnel
106;Conventionnel
107;Conventionnel
108;Conventionnel
109;Conventionnel
110;Conventionnel
111;Conventionnel
112;Conventionnel
113;Conventionnel
114;Conventionnel
115;Conventionnel
116;Conventionnel
117;Conventionnel
118;Conventionnel
119;Conventionnel
120;Conventionnel
121;Conventionnel
122;Conventionnel
123;Conventionnel
124;Conventionnel
125;Conventionnel
126;Conventionnel
127;Conventionnel
128;Conventionnel
129;Conventionnel
130;Conventionnel
131;Conventionnel
132;Conventionnel
133;Conventionnel
134;Conventionnel
135;Conventionnel
136;Conventionnel
137;Conventionnel
138;Conventionnel
139;Conventionnel
140;Conventionnel
141;Conventionnel
142;Conventionnel
143;Conventionnel
144;Conventionnel
145;Conventionnel
146;Conventionnel
147;Biologique
150;Conventionnel
151;Conventionnel
152;Biologique
153;Conventionnel
154;Conventionnel
155;Conventionnel
156;Conventionnel
157;Conventionnel
158;Conventionnel
159;Conventionnel
160;Conventionnel
161;Biologique
162;Conventionnel
163;Conventionnel
164;Conventionnel
165;Conventionnel
166;Conventionnel
167;Conventionnel
168;Conventionnel
169;Conventionnel
170;Conventionnel
171;Conventionnel
172;Conventionnel
173;Biologique
174;Conventionnel
175;Conventionnel
176;Conventionnel
177;Conventionnel
178;Conventionnel
179;Conventionnel
180;Conventionnel
181;Biologique
182;Conventionnel
183;Conventionnel
184;Conventionnel
185;Conventionnel
186;Biologique
187;Conventionnel
188;Conventionnel
189;Conventionnel
190;Conventionnel
191;Biologique
192;Biologique
193;Conventionnel
194;Conventionnel
195;Conventionnel
196;Conventionnel
197;Conventionnel
198;Conventionnel
199;Biologique
200;Biologique
201;Conventionnel
202;Conventionnel
203;Conventionnel
204;Conventionnel
205;Conventionnel
206;Conventionnel
207;Conventionnel
208;Conventionnel
209;Conventionnel
210;Conventionnel
211;Conventionnel
212;Biologique
213;Biologique
214;Conventionnel
215;Conventionnel
216;Conventionnel
217;Conventionnel
218;Conventionnel
219;Conventionnel
220;Conventionnel
221;Biologique
222;Biologique
223;Conventionnel
224;Biologique
225;Biologique
226;Conventionnel
228;Conventionnel
229;Conventionnel
230;Conventionnel
231;Conventionnel
232;Biologique
233;Conventionnel
234;Conventionnel
235;Conventionnel
236;Conventionnel
237;Conventionnel
238;Biologique
239;Conventionnel
240;Biologique
241;Conventionnel
242;Biologique
243;Conventionnel
244;Conventionnel
245;Conventionnel
246;Conventionnel
247;Biologique
248;Biologique
249;Conventionnel
250;Biologique
251;Conventionnel
252;Conventionnel
253;Biologique
254;Conventionnel
255;Biologique
256;Conventionnel
257;Conventionnel
258;Conventionnel
259;Conventionnel
260;Conventionnel
261;Conventionnel
262;Conventionnel
263;Conventionnel
264;Conventionnel
265;Conventionnel
266;Conventionnel
267;Biologique
268;Biologique
269;Conventionnel
270;Conventionnel
271;Conventionnel
272;Biologique
273;Conventionnel
274;Biologique
275;Conventionnel
276;Conventionnel
277;Biologique
278;Biologique
279;Biologique
280;Conventionnel
281;Conventionnel
282;Conventionnel
283;Conventionnel
284;Biologique
285;Conventionnel
286;Conventionnel
287;Conventionnel
288;Conventionnel
289;Conventionnel
290;Conventionnel
291;Biologique
292;Biologique
293;Conventionnel
294;Conventionnel
295;Conventionnel
296;Conventionnel
297;Conventionnel
298;Conventionnel
299;Conventionnel
300;Conventionnel
301;Biologique
302;Conventionnel
303;Conventionnel
304;Conventionnel
305;Conventionnel
306;Conventionnel
307;Conventionnel
308;Conventionnel
309;Biologique
310;Conventionnel
311;Conventionnel
312;Conventionnel
313;Biologique
314;Conventionnel
315;Conventionnel
316;Conventionnel
317;Conventionnel
318;Conventionnel
319;Biologique
320;Biologique
321;Conventionnel
322;Conventionnel
323;Conventionnel
324;Conventionnel
325;Conventionnel
326;Conventionnel
327;Biologique
328;Biologique
329;Conventionnel
330;Conventionnel
331;Conventionnel
332;Conventionnel
333;Conventionnel
334;Conventionnel
335;Conventionnel
336;Conventionnel
337;Conventionnel
338;Conventionnel
339;Conventionnel
340;Conventionnel
341;Conventionnel
342;Conventionnel
343;Conventionnel
344;Conventionnel
345;Conventionnel
346;Biologique
347;Conventionnel
348;Conventionnel
349;Conventionnel
350;Conventionnel
351;Conventionnel
352;Conventionnel
353;Conventionnel
354;Biologique
355;Conventionnel
356;Conventionnel
357;Biologique
358;Conventionnel
359;Biologique
360;Conventionnel
361;Biologique
362;Conventionnel
363;Conventionnel
364;Conventionnel
365;Conventionnel
366;Conventionnel
367;Conventionnel
368;Conventionnel
369;Biologique
370;Conventionnel
371;Conventionnel
372;Conventionnel
373;Conventionnel
374;Conventionnel
375;Conventionnel
376;Conventionnel
377;Conventionnel
378;Conventionnel
379;Biologique
380;Biologique
381;Biologique
382;Conventionnel
383;Conventionnel
384;Conventionnel
385;Biologique
386;Biologique
387;Biologique
388;Conventionnel
389;Conventionnel
390;Conventionnel
391;Biologique
392;Biologique
393;Conventionnel
394;Conventionnel
395;Conventionnel
396;Conventionnel
397;Biologique
398;Biologique
399;Biologique
400;Biologique
401;Biologique
402;Conventionnel
403;Conventionnel
404;Conventionnel
405;Conventionnel
406;Conventionnel
407;Conventionnel
408;Conventionnel
409;Conventionnel
410;Conventionnel
411;Conventionnel
412;Conventionnel
413;Conventionnel
414;Conventionnel
415;Conventionnel
416;Conventionnel
417;Conventionnel
418;Conventionnel
419;Conventionnel
420;Conventionnel
421;Conventionnel
422;Conventionnel
423;Conventionnel
424;Conventionnel
425;Conventionnel
426;Conventionnel
427;Biologique
428;Conventionnel
429;Conventionnel
430;Conventionnel
431;Biologique
432;Conventionnel
433;Conventionnel
434;Biologique
435;Biologique
436;Conventionnel
437;Conventionnel
438;Conventionnel
439;Conventionnel
440;Conventionnel
441;Conventionnel
442;Biologique
443;Biologique
444;Biologique
445;Conventionnel
446;Biologique
449;Conventionnel
451;Biologique
452;Conventionnel
453;Conventionnel
454;Conventionnel
455;Conventionnel
456;Conventionnel
457;Conventionnel
458;Biologique
459;Conventionnel
460;Conventionnel
461;Conventionnel
462;Biologique
463;Conventionnel
464;Conventionnel
465;Conventionnel
466;Conventionnel
467;Conventionnel
468;Conventionnel
469;Conventionnel
470;Conventionnel
471;Conventionnel
472;Conventionnel
473;Biologique
474;Conventionnel
475;Conventionnel
476;Conventionnel
477;Conventionnel
478;Conventionnel
479;Biologique
480;Conventionnel
481;Biologique
482;Conventionnel
483;Conventionnel
484;Conventionnel
485;Conventionnel
486;Biologique
487;Conventionnel
488;Conventionnel
489;Conventionnel
490;Conventionnel
491;Conventionnel
492;Conventionnel
493;Biologique
494;Conventionnel
495;Conventionnel
496;Conventionnel
497;Conventionnel
498;Conventionnel
499;Conventionnel
500;Conventionnel
501;Conventionnel
502;Conventionnel
503;Conventionnel
504;Conventionnel
505;Conventionnel
506;Conventionnel
507;Biologique
508;Conventionnel
509;Biologique
510;Conventionnel
511;Conventionnel
512;Conventionnel
513;Conventionnel
514;Conventionnel
515;Conventionnel
516;Conventionnel
517;Conventionnel
518;Biologique
519;Biologique
520;Conventionnel
521;Conventionnel
522;Conventionnel
523;Conventionnel
524;Conventionnel
525;Biologique
526;Conventionnel
527;Biologique
528;Conventionnel
529;Conventionnel
532;Conventionnel
533;Conventionnel
534;Conventionnel
535;Conventionnel
536;Conventionnel
537;Biologique
538;Biologique
539;Biologique
540;Conventionnel
541;Conventionnel
542;Conventionnel
543;Conventionnel
544;Conventionnel
545;Biologique
546;Conventionnel
547;Conventionnel
548;Biologique
548;Conventionnel
549;Conventionnel
550;Conventionnel
551;Conventionnel
552;Conventionnel
553;Biologique
554;Conventionnel
554;Biologique
555;Conventionnel
556;Conventionnel
557;Conventionnel
557;Biologique
558;Conventionnel
559;Conventionnel
560;Conventionnel
561;Conventionnel
562;Conventionnel
563;Biologique
564;Conventionnel
565;NA
566;Conventionnel
567;NA
568;Biologique
569;Conventionnel
570;Conventionnel
571;NA
572;Biologique
573;NA
574;NA
575;Conventionnel
576;Conventionnel
577;Biologique
